STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
6,1208,1,1,8,8,20,6.1,182.5,190
6,1208,1,1,8,8,23,5.1,152.5,175
6,196,1,1,10,10,34,6.2,185,230
13,790,5,5,14,14,31,6.1,182.5,240
20,954,2,2,2,2,22,6.1,182.5,200
27,248,2,2,32,32,33,5.1,152.5,140
27,994,1,1,3,3,19,6,180,200
27,994,1,1,3,3,24,5.9,172.5,160
27,1256,2,2,210,50,22,5.1,152.5,170
6,1108,1,1,3,3,28,6.2,185,190
6,1110,1,1,6,6,39,6,180,200
27,1153,1,1,8,8,55,5.8,170,170
13,860,0,0,10,10,54,5.6,165,160
27,210,1,1,2,2,35,5.1,152.5,200
13,135,1,1,4,4,19,5.1,152.5,170
6,1360,2,2,5,5,54,5.7,167.5,170
6,1360,2,2,5,5,22,5.11,177.5,165
20,922,1,1,6,6,32,5.1,152.5,160
6,562,1,1,2,2,29,5.3,157.5,110
6,1310,1,1,8,8,50,5.7,167.5,170
6,1310,1,1,8,8,50,5.7,167.5,170
27,376,1,1,20,20,27,5.7,167.5,190
13,1015,1,1,30,30,19,5.8,170,150
20,962,1,1,2,2,56,6.2,185,200
6,168,1,1,10,10,45,6.5,192.5,230
6,665,0,0,10,10,36,5.11,177.5,200
27,562,1,1,10,10,55,5.1,152.5,220
42,650,1,1,10,10,36,5.6,165,165
49,1060,1,1,5,5,53,6,180,180
35,698,1,1,6,6,36,5.8,170,180
56,1127,1,1,1,1,40,6.3,187.5,230
56,540,30,11,19,19,17,5.5,162.5,160
42,810,1,1,10,10,32,5.5,162.5,130
49,705,1,1,10,10,50,5.1,152.5,155
49,695,1,1,10,10,30,5.9,172.5,190
49,1300,1,1,5,5,19,5.9,172.5,160
56,1000,1,1,15,15,17,6,180,150
56,905,1,1,10,10,26,5.7,167.5,175
56,905,1,1,10,10,18,5.7,167.5,165
42,22,2,2,16,16,18,5.11,177.5,160
35,1438,1,1,5,5,72,5.4,160,140
42,377,1,1,3,3,24,5.9,172.5,160
42,1110,2,2,10,10,45,5.11,177.5,210
35,60,2,2,5,5,16,6,180,190
42,825,1,1,30,30,52,5.9,172.5,140
49,852,1,1,3,3,40,6.2,185,160
35,575,0,0,10,10,21,5.8,170,145
42,210,1,1,10,10,21,5.9,172.5,165
35,1061,1,1,23,23,40,5.8,170,185
49,120,30,11,30,30,24,5.8,170,155
56,924,1,1,10,10,17,5.11,177.5,160
35,1280,1,1,10,10,16,5.9,172.5,150
42,850,1,1,15,15,30,5.9,172.5,150
42,850,1,1,15,15,31,5.8,170,170
42,850,1,1,15,15,30,5.1,152.5,200
42,850,1,1,15,15,29,5.7,167.5,150
35,170,0,0,15,15,26,5.8,170,150
42,1160,1,1,23,23,40,4.11,147.5,120
43,1430,1,1,3,3,25,5.4,160,125
36,698,1,1,20,20,48,6,180,170
50,727,5,5,5,5,40,6,180,250
57,963,5,5,2,2,38,6.1,182.5,180
36,1286,3,3,5,5,23,5.1,152.5,170
36,1286,3,3,5,5,21,5.1,152.5,150
50,1200,5,5,15,15,17,5.5,162.5,160
50,1150,1,1,4,4,17,5.6,165,125
50,1150,0,0,4,4,13,5.4,160,115
36,125,1,1,5,5,32,5.8,170,150
50,1088,1,1,12,12,41,5.11,177.5,150
50,1134,1,1,5,5,17,5.6,165,180
50,1134,1,1,5,5,17,5.7,167.5,185
43,485,1,1,10,10,22,6.1,182.5,180
50,838,0,0,15,15,30,6,180,190
57,1079,1,1,5,5,17,5.11,177.5,140
57,1079,1,1,5,5,17,5.1,152.5,150
36,1095,2,2,4,4,19,6,180,160
36,1155,2,2,4,4,18,6.1,182.5,150
36,1095,2,2,4,4,18,5.8,170,130
36,1095,2,2,4,4,18,6.2,185,140
36,1095,2,2,4,4,18,5.11,177.5,150
36,1095,2,2,4,4,18,5.8,170,160
50,1185,1,1,1,1,22,5.11,177.5,160
36,985,5,5,5,5,18,6,180,180
36,855,1,1,5,5,18,5.8,170,145
36,1231,1,1,8,8,42,6.1,182.5,260
36,1378,1,1,10,10,30,5.8,170,180
36,1358,1,1,5,5,18,5.6,165,130
57,1210,0,0,6,6,17,5.6,165,150
36,1190,2,2,10,10,17,5.11,177.5,200
43,1128,1,1,10,10,25,6,180,150
50,716,3,3,5,5,56,5.1,152.5,180
36,680,2,2,30,30,39,5.5,162.5,150
57,686,1,1,5,5,45,5.9,172.5,180
36,1295,2,2,10,10,20,6.1,182.5,196
36,1286,2,2,2,2,20,6,180,185
36,860,10,10,2,2,34,6,180,165
50,905,1,1,8,8,23,5.6,165,200
50,890,0,0,15,15,17,5.11,177.5,150
50,890,0,0,15,15,20,5.11,177.5,155
50,890,0,0,15,15,17,5.11,177.5,150
57,718,1,1,10,10,19,5.1,152.5,160
57,718,1,1,10,10,19,6,180,150
57,718,1,1,10,10,24,6.1,182.5,180
57,718,1,1,10,10,24,5.4,160,130
57,530,1,1,5,5,24,6.1,182.5,185
50,212,1,1,3,3,49,5.8,170,150
57,958,5,5,15,15,28,5.1,152.5,220
57,1420,1,1,10,10,43,6.4,190,190
57,576,1,1,7,7,42,6.2,185,200
50,638,0,0,5,5,30,5.1,152.5,160
36,1037,1,1,5,5,25,6.2,185,170
36,1037,1,1,5,5,20,5.5,162.5,160
37,1258,10,10,10,10,23,5.11,177.5,180
58,0,0,0,1,1,28,5.7,167.5,190
58,1232,0,0,2,2,59,6,180,180
58,142,1,1,25,25,14,6.2,185,125
58,141,1,1,25,25,14,5.7,167.5,135
58,141,1,1,25,25,18,6.1,182.5,160
58,141,1,1,25,25,16,5.1,152.5,184
58,141,1,1,25,25,17,5.7,167.5,140
44,828,1,1,8,8,41,5.7,167.5,180
58,870,0,0,10,10,27,5.9,172.5,175
58,865,15,11,4,4,44,5.6,165,130
44,1335,1,1,2,2,16,5.11,177.5,140
37,1190,1,1,5,5,26,5.1,152.5,220
51,0,1,1,10,10,19,5.6,165,220
44,1404,1,1,1,1,30,5.11,177.5,248
44,25,1,1,20,20,23,6,180,170
51,1397,1,1,10,10,20,6.4,190,150
37,1340,1,1,15,15,26,5.7,167.5,180
44,1122,1,1,12,12,20,6,180,180
58,525,0,0,5,5,35,5.1,152.5,180
44,865,1,1,2,2,17,5.7,167.5,145
51,552,1,1,1,1,26,6,180,200
58,1310,1,1,2,2,40,5.5,162.5,140
37,365,1,1,11,11,24,5.5,162.5,140
44,1187,3,3,10,10,17,5.8,170,130
58,991,1,1,1,1,19,5.11,177.5,65
44,1149,1,1,45,50,23,5.1,152.5,120
44,1149,1,1,45,50,27,5.3,157.5,150
51,1282,1,1,12,12,14,5.11,177.5,160
44,1003,1,1,7,7,52,5.8,170,155
51,795,1,1,20,20,29,5.11,177.5,160
44,1376,1,1,5,5,26,5.11,177.5,180
58,1367,1,1,12,12,42,6.3,187.5,225
44,119,1,1,5,5,16,5.7,167.5,140
37,1375,1,1,3,3,25,5.8,170,160
37,1375,1,1,3,3,18,5.1,152.5,250
44,1430,1,1,3,3,28,5.4,160,150
37,575,15,11,10,10,50,5.1,152.5,185
37,1180,0,0,11,11,16,5.8,170,150
44,1396,2,2,1,1,19,5.9,172.5,170
44,917,1,1,10,10,23,5.1,152.5,140
44,917,1,1,10,10,22,6,180,180
44,1078,2,2,8,8,22,5.1,152.5,150
58,59,5,5,10,10,26,5.11,177.5,165
51,915,1,1,10,10,34,5.1,152.5,180
37,140,5,5,13,13,33,5.8,170,150
37,970,1,1,5,5,21,5.7,167.5,145
37,924,2,2,5,5,16,5.6,165,150
37,865,5,5,5,5,27,5.9,172.5,180
37,865,5,5,5,5,25,6,180,200
58,681,1,1,5,5,18,5.7,167.5,140
51,295,1,1,5,5,31,5.8,170,180
44,1350,1,1,30,30,18,6.1,182.5,180
44,1350,1,1,30,30,18,5.8,170,140
58,795,1,1,1,1,30,6.2,185,200
45,20,15,11,3,3,34,6,180,175
