min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,owned,weight
2,4,60,30,60,2017,7.0739,6.24366,1141,8,2442,1.9524
2,4,60,60,60,2014,6.93898,6.2382,1193,14,2194,2.0143
2,4,60,60,60,2014,6.85359,6.23515,1233,10,1751,2.2361
2,4,90,60,90,2015,7.09743,6.23244,870,14,1395,3.1875
2,4,20,10,20,2017,7.43463,6.22367,623,5,1558,1
2,5,90,60,90,2017,7.26023,6.2224,776,12,1779,2.5
2,4,60,45,60,2017,7.41018,6.22213,654,12,1161,2.2857
2,6,120,90,120,2016,7.19052,6.22201,773,14,1740,2.6667
2,4,120,60,120,2016,7.61562,6.22022,764,14,1851,2.4444
2,6,120,20,120,2016,7.32593,6.21839,774,12,1950,2.2727
2,6,15,5,15,2017,7.41697,6.21833,675,10,1615,1.3333
2,5,45,45,45,2017,7.35972,6.21606,721,8,1160,1.4118
2,4,120,90,120,2017,7.46474,6.20961,617,12,1334,4.3737
2,6,30,15,30,2014,6.44052,6.20886,4041,14,6133,1.1319
2,4,10,10,10,2014,6.78034,6.20303,1291,10,3082,1.3276
4,8,30,15,30,2016,6.79164,6.20299,1394,18,3761,1.5556
2,6,60,45,60,2016,6.94305,6.20142,986,12,2404,2.3333
2,5,120,90,120,2014,6.93429,6.19867,1023,0,2221,2.6184
2,8,75,45,75,2016,7.89644,6.19818,508,12,821,2.2857
2,4,45,45,45,2016,6.87802,6.19234,1152,10,2182,1.6522
2,5,35,35,35,2015,6.8513,6.18904,1199,7,2605,1.7188
2,4,40,20,40,2016,7.47689,6.18644,600,10,1668,2.0909
3,5,180,120,180,2016,6.68813,6.18577,1872,14,4824,3.8065
2,4,30,15,30,2016,6.75731,6.18401,1243,8,1756,1.4375
2,5,75,45,75,2014,7.28062,6.18306,741,0,2061,2.4857
3,5,90,60,90,2016,7.24928,6.17453,650,12,760,3.0455
2,4,15,15,15,2014,7.27016,6.17195,672,5,1488,1.1429
2,4,120,120,120,2015,6.9665,6.17004,883,13,1663,3.5303
2,5,35,35,35,2016,7.29503,6.16612,635,8,1490,2.0714
2,2,40,40,40,2016,7.36385,6.16588,584,13,1411,1.8182
4,6,30,1,30,2014,7.04893,6.16564,820,10,1468,1.1579
2,5,30,30,30,2014,6.48856,6.16455,2325,14,4992,1.9221
2,4,120,75,120,2017,7.7262,6.16352,440,12,573,3.1818
2,4,45,30,45,2016,7.31496,6.1619,654,8,1040,1.7857
2,4,60,45,60,2017,8.01172,6.1617,389,13,1082,2.3333
2,4,45,45,45,2014,6.91479,6.15753,919,13,2279,2
2,2,360,150,360,2015,8.3387,6.15676,384,0,1569,3.7447
2,6,45,30,45,2015,6.8704,6.15487,1202,15,3181,1.6296
2,4,30,30,30,2015,7.3113,6.1529,584,10,886,2.1765
2,4,80,50,80,2016,7.28048,6.1485,607,10,1384,2.7333
3,5,90,90,90,2014,7.81254,6.14569,457,16,976,2.7308
2,2,45,30,45,2014,6.73181,6.14119,1120,8,2073,1.8868
2,4,60,60,60,2015,6.93437,6.13647,845,10,1758,2.74
2,6,90,60,90,2017,7.75964,6.13457,553,13,1651,3.2308
2,4,60,25,60,2016,6.92178,6.13231,1070,13,2335,1.9032
2,5,120,30,120,2015,7.41493,6.12771,678,10,2020,2.5556
2,5,90,90,90,2015,6.76156,6.1277,1093,14,2595,3.236
3,5,60,45,60,2015,6.96438,6.12739,841,13,1644,2.0833
2,2,120,60,120,2017,7.64568,6.1254,495,17,1664,2.15
2,5,120,45,120,2016,7.31919,6.12454,582,12,1013,3.7619
2,5,90,45,90,2016,6.92786,6.12332,863,10,1787,2.5385
2,4,20,20,20,2015,6.69247,6.12245,1167,8,2247,1.4474
2,5,60,60,60,2015,6.54375,6.11758,1948,10,7097,2.2973
2,2,90,90,90,2014,8.13277,6.11608,430,14,798,3.0526
2,4,120,60,120,2017,7.34917,6.11409,551,12,1051,3.15
2,4,30,30,30,2015,6.95303,6.11099,839,14,1892,1.8421
2,4,20,20,20,2015,6.85244,6.11031,1052,8,2635,1.5
2,2,60,30,60,2017,7.906,6.10883,361,13,899,2.7
2,4,15,15,15,2014,6.92915,6.10743,839,10,2276,1.7241
2,4,120,90,120,2017,7.5837,6.10582,441,14,1200,3.4783
2,2,60,60,60,2015,7.63748,6.10467,433,14,1353,1.875
2,4,30,15,30,2016,6.78704,6.10237,934,12,1773,2
2,5,60,60,60,2017,7.05148,6.10129,721,10,1343,3
2,5,30,30,30,2016,6.89733,6.10123,942,10,2768,2
2,5,120,90,120,2015,7.12176,6.09663,620,12,1536,3.1667
2,4,90,90,90,2015,7.7603,6.09552,403,13,878,3.0714
2,8,30,30,30,2014,6.67424,6.09157,1244,8,2895,1.0926
2,5,120,120,120,2014,6.72323,6.0909,1435,12,3369,3.8333
3,7,45,45,45,2016,7.50926,6.08705,440,16,766,1.0625
2,2,30,20,30,2016,6.97123,6.07555,723,10,1874,1.7
2,5,50,30,50,2016,7.34901,6.07453,477,10,794,2.1429
2,4,45,45,0,2015,6.81948,6.07449,884,12,3566,2.0952
2,4,180,45,180,2015,7.70255,6.07324,474,14,1460,2.5789
2,4,30,15,30,2016,6.92492,6.07058,751,14,1505,1.6364
2,2,15,15,15,2014,6.56714,6.06789,1184,13,3489,1.9016
2,8,120,60,120,2015,8.11685,6.06762,362,12,956,2.8
2,2,120,90,120,2016,7.9436,6.06624,328,14,774,3
2,5,30,30,30,2015,7.08583,6.06591,625,8,1196,2
2,4,15,15,15,2016,6.82431,6.06375,837,5,1886,1.1765
2,4,60,60,60,2015,6.98983,6.06084,689,14,1592,2.5135
3,8,90,90,90,2016,6.69412,6.06078,930,10,1936,1.5417
3,6,60,60,60,2017,7.3121,6.06033,575,12,1910,2.4545
2,5,40,30,40,2016,6.89878,6.05675,742,8,1909,1.8235
2,2,60,60,60,2015,7.87394,6.05529,343,0,950,2.6667
2,5,30,20,30,2014,6.61198,6.05403,1066,8,1415,1.6852
