Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2007,0.65,0.03,0.0,0.11,0.79,83,6,8.3,23,1
2006,0.65,0.02,0.0,0.11,0.78,81,12,8.4,18,1
2005,0.64,0.02,0.0,0.1,0.77,53,30,6.3,46,3
2001,0.38,0.29,0.0,0.1,0.77,84,33,8.7,16,3
2002,0.38,0.29,0.0,0.1,0.77,81,15,8.4,17,1
2002,0.1,0.08,0.56,0.03,0.77,45,26,3.0,29,3
2008,0.37,0.04,0.0,0.36,0.76,66,5,6.7,49,2
2004,0.37,0.29,0.0,0.1,0.76,65,47,6.9,30,4
2008,0.21,0.0,0.0,0.54,0.75,67,8,8.4,9,1
2004,0.37,0.29,0.0,0.1,0.75,69,30,6.5,6,1
2001,0.3,0.24,0.13,0.08,0.75,78,21,7.4,49,4
2001,0.22,0.17,0.3,0.06,0.75,81,22,7.9,27,3
2006,0.62,0.02,0.0,0.1,0.75,76,27,9.0,18,1
2001,0.36,0.28,0.0,0.1,0.74,79,25,7.7,33,1
2004,0.47,0.02,0.17,0.08,0.73,86,55,9.0,86,1
2001,0.36,0.28,0.0,0.09,0.73,64,17,8.7,13,1
2005,0.6,0.02,0.0,0.1,0.72,74,52,7.9,54,3
2007,0.59,0.02,0.01,0.1,0.72,68,10,6.6,9,1
2006,0.6,0.02,0.0,0.1,0.72,79,33,6.0,8,1
2003,0.05,0.04,0.61,0.01,0.72,66,10,8.5,37,3
2003,0.35,0.27,0.0,0.09,0.71,93,30,9.0,48,3
2003,0.35,0.27,0.0,0.09,0.71,85,41,8.8,315,4
2004,0.35,0.27,0.0,0.09,0.71,49,6,6.2,5,1
2003,0.34,0.27,0.0,0.09,0.7,73,33,8.3,19,3
2001,0.34,0.27,0.0,0.09,0.7,84,22,8.2,11,1
2000,0.34,0.27,0.0,0.09,0.7,66,16,6.6,9,1
2004,0.34,0.27,0.0,0.09,0.7,65,30,7.6,62,4
2000,0.16,0.13,0.36,0.04,0.7,58,16,8.1,49,3
2002,0.34,0.27,0.0,0.09,0.7,90,33,8.8,127,3
2005,0.58,0.02,0.0,0.09,0.69,77,41,8.6,74,4
2004,0.34,0.26,0.0,0.09,0.68,78,44,8.7,54,3
2005,0.57,0.02,0.0,0.09,0.68,85,46,8.5,111,4
2002,0.23,0.18,0.2,0.06,0.68,76,24,8.9,81,3
2002,0.22,0.17,0.23,0.06,0.67,74,23,9.0,33,3
2007,0.55,0.02,0.0,0.09,0.66,65,6,6.6,17,3
2003,0.32,0.25,0.0,0.08,0.66,61,21,7.9,9,1
2002,0.32,0.25,0.0,0.08,0.66,74,13,8.0,27,1
2006,0.55,0.02,0.0,0.09,0.66,69,32,2.9,52,2
2004,0.32,0.25,0.0,0.08,0.66,78,30,8.7,20,3
2004,0.17,0.13,0.3,0.05,0.66,63,44,7.3,47,3
2008,0.24,0.0,0.0,0.41,0.65,73,6,8.6,5,2
2005,0.18,0.14,0.29,0.05,0.65,74,36,9.0,54,3
2005,0.32,0.25,0.0,0.08,0.65,60,20,8.9,7,2
2002,0.32,0.25,0.0,0.08,0.65,47,11,6.0,6,3
2003,0.19,0.15,0.26,0.05,0.65,63,55,9.1,88,4
2005,0.32,0.25,0.0,0.08,0.65,77,48,8.8,43,3
2005,0.54,0.02,0.0,0.09,0.65,68,29,6.7,48,2
2004,0.32,0.25,0.0,0.08,0.64,60,16,8.0,44,1
2004,0.32,0.25,0.0,0.08,0.64,64,38,8.0,129,1
2004,0.54,0.02,0.0,0.09,0.64,60,38,7.0,32,3
2003,0.31,0.24,0.0,0.08,0.64,58,24,7.2,13,3
2006,0.15,0.12,0.34,0.04,0.64,81,45,8.9,62,4
2004,0.31,0.24,0.0,0.08,0.64,63,25,5.7,12,1
2005,0.53,0.02,0.0,0.09,0.63,82,44,7.3,41,3
2005,0.53,0.02,0.0,0.09,0.63,78,18,7.7,18,1
2002,0.12,0.09,0.38,0.03,0.63,82,31,8.4,32,1
2007,0.22,0.2,0.16,0.05,0.63,89,25,8.3,296,4
2001,0.31,0.24,0.0,0.08,0.63,82,17,5.8,28,1
2006,0.11,0.03,0.15,0.34,0.63,93,69,9.3,327,3
2002,0.16,0.13,0.29,0.04,0.62,78,30,8.4,38,3
2004,0.3,0.24,0.0,0.08,0.62,71,31,8.0,10,1
2004,0.3,0.24,0.0,0.08,0.62,48,14,6.8,4,1
2004,0.3,0.24,0.0,0.08,0.62,68,23,8.6,8,3
2006,0.02,0.02,0.57,0.01,0.61,58,26,8.8,13,3
